název produktu;V-kód produktu;skupina produktů;čas cyklu (s);kavita;čas přípravy (s);zmetkovitost (%)
Lightguide Inner C346;V2337P;2337;65;1;14400;5
Circle shape L550;V2339L;2339;82;1;14400;5
Circle shape L550;V2339P;2339;82;1;14400;5
J Shape L550;V2340L;2340;72,4;1;14400;5
J Shape L550;V2340P;2340;72,4;1;14400;5
Inner Filter-fiesta;V2343L;2343;55,4;1;14400;5
Inner Filter-fiesta;V2343P;2343;55,4;1;14400;5
Light guide Mahindra ;V2351L;2351;138;1;14400;5
Light guide Mahindra;V2351P;2351;138;1;14400;5
Lightpipe Blade PSA;V2354L;2354;65,1;2;14400;5
Lightpipe Blade PSA;V2354P;2354;65,1;2;14400;5
00185720-03-0000;V2361L;2361;60;1;14400;5
00185719-03-0000;V2361P;2361;60;1;14400;5
00185724-03-0000;V2362L;2362;54,5;1;14400;5
00185723-03-0000;V2362P;2362;54,5;1;14400;5
Back up Filter;V2363L;2363;28;2;14400;5
Back up filter;V2363P;2363;28;2;14400;5
Inner filter Inboard;V2367L;2367;39;1;14400;5
Inner filter Inboard;V2367P;2367;39;1;14400;5
Inner filter Outboard;V2368L;2368;41,5;1;14400;5
Inner filter Outboard;V2368P;2368;41,5;1;14400;5
Inner Lightpipe Inboard;V2369L;2369;65;1;14400;5
Inner Lightpipe Inboard;V2369P;2369;65;1;14400;5
Inner Lightpipe Outboard;V2370L;2370;50;1;14400;5
Inner Lightpipe Outboard;V2370P;2370;50;1;14400;5
U Blade;V2375L;2375;104;1;14400;5
U Blade;V2375P;2375;104;1;14400;5
Side wall;V2376L;2376;72;1;14400;5
Side wall;V2376P;2376;72;1;14400;5
Blade - collimator;V2379L;2379;191;1;14400;5
Blade - collimator;V2379P;2379;191;1;14400;5
00196853-02-0000;V2380L;2380;104,17;1;14400;5
00196852-02-0000;V2380P;2380;104,17;1;14400;5
00196807-02-0000;V2381L;2381;70;1;14400;5
00196806-02-0000;V2381P;2381;70;1;14400;5
00196797-02-0000;V2382L;2382;77;1;14400;5
00196796-02-0000;V2382P;2382;77;1;14400;5
Inner Collimator BY 736;V2390L;2390;156,8;1;14400;5
Inner Collimator BY736;V2390P;2390;156,8;1;14400;5
00129457-03-0000;V2395L;2395;75;1;14400;5
00129456-03-0000;V2395P;2395;75;1;14400;5
Inner collimator C346 -dupl.;V2396L;2396;96,1;1;14400;5
Inner collimator C346 -dupl.;V2396P;2396;96,1;1;14400;5
SB lens cornering;V2400L;2400;81;1;14400;5
SB lens cornering;V2400P;2400;81;1;14400;5
VPDE2X-13C211-AD_k dupl. 2395;V2403L;2403;73;1;14400;5
VPDE2X-13C211-AD_k dupl. 2395;V2403P;2403;73;1;14400;5
Light pipe upper;V2404L;2404;60,2;1;14400;5
Light pipe upper;V2404P;2404;60,2;1;14400;5
Light pipe Lower;V2405L;2405;50;1;14400;5
Light pipe Lower;V2405P;2405;50;1;14400;5
Lens Inner Sidemarker L405;V2406L;2406;48,2;1;14400;5
Lens Inner Sidemarker L405;V2406P;2406;48,2;1;14400;5
Lens - Inner Sidemarker L494;V2407L;2407;38;1;14400;5
Lens - Inner Sidemarker L494;V2407P;2407;38;1;14400;5
Lens-Inner Lightpipe;V2409L;2409;65;1;14400;5
Lens-Inner Lightpipe;V2409P;2409;65;1;14400;5
Filter Inner T1;V2411L;2411;72;1;14400;5
Filter Inner T1;V2411P;2411;72;1;14400;5
Light Pipe - stripes;V2412L;2412;68,5;1;14400;5
Light Pipe - stripes;V2412P;2412;68,5;1;14400;5
00206562-01-0000 (na potisk);V2418L;2418;62,1;1;14400;5
00206561-01-0000 (na potisk);V2418P;2418;62,1;1;14400;5
00206454-01-0000;V2419L;2419;107;1;14400;5
00206453-01-0000;V2419P;2419;107;1;14400;5
00207107-02-0000;V2420L;2420;54;1;14400;5
00207109-02-0000;V2420P;2420;54;1;14400;5
00207111-02-0000;V2421L;2421;33;1;14400;5
00207110-02-0000;V2421P;2421;33;1;14400;5
Light Pipe - LH- Vertical;V2423L;2423;64,5;1;14400;5
Light Pipe - RH- Vertical;V2423P;2423;64,5;1;14400;5
Light Pipe - LH - Horizontal;V2424L;2424;65;1;14400;5
Light Pipe - RH- Horizontal;V2424P;2424;65;1;14400;5
Lens - Inner Collimator LH;V2428L;2428;184;1;14400;5
Lens - Inner Collimator RH;V2428P;2428;184;1;14400;5
00126810-04-0000 mat. Apec;V2429L;2429;55,1;1;14400;5
00126809-04-0000 mat. Apec;V2429P;2429;55,1;1;14400;5
Blade - collimator (dupl. 2379L);V2431L;2431;190,5;1;14400;5
Blade - collimator (dupl. 2379P);V2431P;2431;190,5;1;14400;5
Collimator - MID verze;V2433L;2433;184;1;14400;5
Collimator - MID verze;V2433P;2433;184;1;14400;5
00211157-02-0000 small light Blade;V2441L;2441;106,8;1;14400;5
00211156-02-0000 small light Blade;V2441P;2441;106,8;1;14400;5
00213586-001-0000 Bezel Low Outer;V2442L;2442;74;1;14400;5
00213657-001-0000 Bezel Low Outer;V2442P;2442;74;1;14400;5
00213601-001-0000 Filter Main Low Inner;V2443L;2443;63,7;1;14400;5
00213667-001-0000 Filter Main Low Inner;V2423P;2443;63,7;1;14400;5
00212276-02-0000 Filter Inner OBD Milky;V2445L;2445;67;1;14400;5
00212275-02-0000 Filter Inner OBD Milky;V2445P;2445;67;1;14400;5
00212280-02-0000 Guide Light OBD Planar;V2446L;2446;105;2;14400;5
00212279-02-0000 Guide Light OBD Planar;V2446P;2446;105;2;14400;5
00212257-01-0000 Filter Inner INBD Milky;V2447L;2447;55,65;1;14400;5
00212256-01-0000 Filter Inner INBD Milky;V2447P;2447;55,65;1;14400;5
00213658-04-0000 Filter 15860 Low Outer LH;V2452L;2452;52;1;14400;5
00213587-04-0000 Filter 15860 Low Outer RH;V2452P;2452;52;1;14400;5
00213602-03-0000 Filter Fog LH;V2453L;2453L;41,6;2;14400;5
00213670-03-0000 Filter Fog RH;V2453P;2453P;41,6;2;14400;5
00213669-03-0000 Filter BackUp LH;V2454L;2454;49;2;14400;5
00213668-03-0000 Filter Back Up RH;V2454P;2454;49;2;14400;5
00213809-01-0000 Filter DRL LH;V2458L;2458;188;1;14400;5
00213809-01-0000 Filter DRL RH;V2458P;2458;188;1;14400;5
Blade - collimator;V2460L;2460;184;1;14400;5
Blade - collimator;V2460P;2460;184;1;14400;5
00213809-01-0000 Filter DRL POS LH;V2461L;2461;160;1;14400;5
00213810-01-0000 Filter DRL POS RH;V2461P;2461;160;1;14400;5
00217434-02-0000 Outer Blade;V2464L;2464;75;1;14400;5
00217433-02-0000 Outer Blade;V2464P;2464;75;1;14400;5
00217342-02-0000 Inner DI Blade;V2465L;2465;75;1;14400;5
00217343-02-0000 Inner DI Blade;V2465P;2465;75;1;14400;5
Blade - collimator;V2468L;2468;184;1;14400;5
Blade - collimator;V2468P;2468;184;1;14400;5
00211432-03-0000;V2471L;2471;92;1;14400;5
00211431-03-0000;V2471P;2471;92;1;14400;5
00213809-01-0000 Filter DRL POS LH;V2472L;2472;160;1;14400;5
00213810-01-0000 Filter DRL POS RH;V2472P;2472;160;1;14400;5
Blende 1301015346;V3000L;3000;46;1;14400;5
Blende 1301015347;V3000P;3000;46;1;14400;5
Blende 1301016336;V3001L;3001;34;1;14400;5
Blende 1301016337;V3001P;3001;34;1;14400;5
Blende 1301016334;V3002L;3002;50;1;14400;5
Blende 1301016335;V3002P;3002;50;1;14400;5
Blende 1301015346;V3005L;3005;43,6;1;14400;5
Blende 1301015347;V3005P;3005;43,6;1;14400;5
Blende 1301016336;V3006L;3006;36;1;14400;5
Blende 1301016337;V3006P;3006;36;1;14400;5
Blende 1301016334;V3007L;3007;39,5;1;14400;5
Blende 1301016335;V3007P;3007;39,5;1;14400;5
Light guide 1 307 323 139;V3008L;3008;52,8;1;14400;5
Light guide 1 307 323 140;V3008P;3008;52,8;1;14400;5
Light dome - 1305623359;V3009L;3009;34;1;14400;5
Light dome - 1305623360;V3009P;3009;34;1;14400;5
Sicherunghalter- 1301398485;V3010L;3010;23,6;1;14400;5
Sicherunghalter- 1301398486;V3010P;3010;23,6;1;14400;5
Light guide- 1 307 323 158;V3011L;3011;43;1;14400;5
Light guide - 1 307 323 157;V3011P;3011;43;1;14400;5
Light guide- 1 307 323 159;V3012L;3012;53,7;1;14400;5
Light guide- 1 307 323 160;V3012P;3012;53,7;1;14400;5
Light guide- 1 307 323 155;V3013L;3013;46;1;14400;5
Light guide- 1 307 323 156;V3013P;3013;46;1;14400;5
Light guide- 1 307 323 171 ;V3014L;3014;64;1;14400;5
Light guide- 1 307 323 172;V3014P;3014;64;1;14400;5
Light guide - 1307323182;V3015L;3015;78;1;14400;5
Light guide - 1307323183;V3015P;3015;78;1;14400;5
Light guide- 1307323184;V3016L;3016;45,5;1;14400;5
Light guide- 1307323185;V3016P;3016;45,5;1;14400;5
Light guide- 1300290194;V3017L;3017;38;1;14400;5
Light guide- 1300290195;V3017P;3017;38;1;14400;5
Lichtleiter 1 404 000 514;V3021L;3021;53,6;1;14400;5
Lichtleiter 1 404 000 515;V3021P;3021;53,6;1;14400;5
Inner lens 1 404 000 134;V3024L;3024;83;1;14400;5
Inner lens 1 404 000 135;V3024P;3024;83;1;14400;5
Lichtleiter 1 404 000 164- bez tampoprintu;V3025L;3025;58,5;1;14400;5
Lichtleiter 1 404 000 165- bez tampoprintu;V3025P;3025;58,5;1;14400;5
Lichtleiter 1 404 000 158;V3026L;3026;46;1;14400;5
Lichtleiter 1 404 000 159;V3026P;3026;46;1;14400;5
Projection Lens 1 404 000 598;V3028L;3028;355,2;2;14400;5
Projection Lens 1 404 000 599;V3028P;3028;355,2;2;14400;5
Light guide Bottom - 1 404 000 559;V3029L;3029;58;1;14400;5
Light guide Bottom - 1 404 000 560;V3029P;3029;58;1;14400;5
Light guide 1 404 000 557;V3030L;3030;51;1;14400;5
Light guide 1 404 000 558;V3030P;3030;51;1;14400;5
Light guide 1 404 000 132;V3031L;3031;56,14;1;14400;5
Light guide 1 404 000 133;V3031P;3031;56,14;1;14400;5
Inner lens 1 404 000 695;V3034L;3034;62;1;14400;5
Inner lens 1 404 000 696;V3034P;3034;62;1;14400;5
Lightguide 1404 001 006;V3037L;3037;63;1;14400;5
Lightguide 1404 001 007;V3037P;3037;63;1;14400;5
Lightguide 1404 001 012;V3038L;3038;51;1;14400;5
Lightguide 1404 001 013;V3038P;3038;51;1;14400;5
Projection Lens 1404001451/dupl.;V3039L;3039;268;2;14400;5
Projection Lens 1404001452/dupl.;V3039P;3039;268;2;14400;5
BMW G2X Inner Lens;V3042L;3042;60,4;1;14400;5
BMW G2X Inner Lens;V3042P;3042;60,4;1;14400;5
BMW G2X Lightguide;V3043L;3043;66,5;1;14400;5
BMW G2X Lightguide;V3043P;3043;66,5;1;14400;5
BMW G29 Inner Lens;V3044L;3044;50;1;14400;5
BMW G29 Inner Lens;V3044P;3044;50;1;14400;5
BMW G29 Lightguide;V3045L;3045;50,5;1;14400;5
BMW G29 Lightguide;V3045P;3045;50,5;1;14400;5
Inner Lens Ambiente 1404001668;V3047L;3047;56,5;1;14400;5
Inner Lens Ambiente 1404001669;V3047P;3047;56,5;1;14400;5
Audi A4 FL 1404.001.582;V3048L;3048;42;1;14400;5
Audi A4 FL 1404.001.583;V3048P;3048;42;1;14400;5
1404.001.780;V3049L;3049;70;1;14400;5
1404.001.781;V3049P;3049;70;1;14400;5
1307323194.00 (býv. 3018L);V3050L;3050;60;1;14400;5
1307323195.00 (býv. 3018P);V3050P;3050;60;1;14400;5
1315620597;V3052L;3052;55;1;14400;5
1315620598;V3052P;3052;55;1;14400;5
1315610427;V3053L;3053;80;1;14400;5
1315610428;V3053P;3053;80;1;14400;5
1315630650;V3054L;3054;52;1;14400;5
1315630651;V3054P;3054;52;1;14400;5
1404001819;V3055L;3055;75;1;14400;5
1404001820;V3055P;3055;75;1;14400;5
Light guide 1 404 000 713;V3056L;3056;65;1;14400;5
Light guide 1 404 000 714;V3056P;3056;65;1;14400;5
Light guide 1 404 000 709;V3057L;3057;57;1;14400;5
Light guide 1 404 000 710;V3057P;3057;57;1;14400;5
Light guide- 1307323202.00;V3058L;3058;45;1;14400;5
Light guide- 1307323203.00;V3058P;3058;45;1;14400;5
Inner Lens - 1404 001 883;V3059L;3059;42;2;14400;5
Inner Lens - 1404 001 884;V3059P;3059;42;2;14400;5
82.16.80.03 P87 EDGE STOP TAIL1;V3060L;3060;179;2;14400;5
82.16.90.03 P87 EDGE STOP TAIL1;V3060P;3060;179;2;14400;5
82.16.80.09 P87 EDGE STOP TAIL2;V3061L;3061;187;2;14400;5
82.16.90.09 P87 EDGE STOP TAIL2;V3061P;3061;187;2;14400;5
82.15.90.04 P84 EDGE TAIL 1 T2;V3062L;3062;95;2;14400;5
82.15.80.04 P84 EDGE TAIL 1 T2;V3062P;3062;95;2;14400;5
82.15.90.08 P84 EDGE TAIL 2 T2;V3063L;3063;100;2;14400;5
82.15.80.08 P84 EDGE TAIL 2 T2;V3063P;3063;100;2;14400;5
Svetlovodič - STI Seat 326 LH;V3108L;3108;53;1;14400;5
Svetlovodič - STI Seat 326 RH;V3108P;3108;53;1;14400;5
f-18-043;V3110L;3110;;;14400;5
f-18-043;V3110P;3110;;;14400;5
f-18-044;V3111L;3111;;;14400;5
f-18-044;V3111P;3111;;;14400;5
Tělo+optický kryt EU (1+1);V3112L;3112;36,37;2;14400;5
;V3112P;3112;36,37;;14400;5
Tělo+optický kryt UK (1+1);V3113L;3113;;2;14400;5
Tělo+optický kryt UK (1+1);V3113P;3113;;2;14400;5
Tělo+optický kryt NEW BULLI T7;V3114L;3114;;2;14400;5
;V3114P;3114;;;14400;5
2K Housing + Lens LH;V3116L;3116;34,8;1;14400;5
;V3116P;3116;34,8;;14400;5
Inner lens A;V3200L;3200;55;1;14400;5
Inner lens A;V3200P;3200;55;1;14400;5
10161-18066;V3201L;3201;46;1;14400;5
10061-18066;V3201P;3201;46;1;14400;5
10171-18066;V3202L;3202;45;1;14400;5
10071-18066;V3202P;3202;45;1;14400;5
Inner Lens A-865 A;V3203L;3203;54;1;14400;5
Inner Lens A-865 A;V3203P;3203;54;1;14400;5
Inner Lens B-865 A;V3204L;3204;50;1;14400;5
Inner lens B-865 A;V3204P;3204;50;1;14400;5
Reflex reflektor HG US-865 A;V3205L;3205;48;1;14400;5
Reflex reflektor HG US-865 A;V3205P;3205;48;1;14400;5
Reflex reflector LG US;V3206L;3206;49,6;1;14400;5
Reflex reflector LG US;V3206P;3206;49,6;1;14400;5
Shade A-865 A;V3207L;3207;43;1;14400;5
Shade A-865 A;V3207P;3207;43;1;14400;5
Inner Lens A MG HG;V3209L;3209;44;1;14400;5
Inner Lens A MG HG;V3209P;3209;44;1;14400;5
Inner Lens B HAL LG;V3210L;3210;46;1;14400;5
Inner Lens B HAL LG;V3210P;3210;46;1;14400;5
Inner Lens B MG HG(lightguide);V3211L;3211;77;1;14400;5
Inner Lens B MG HG(lightguide);V3211P;3211;77;1;14400;5
Inner Lens C HAL LG;V3212L;3212;70;1;14400;5
Inner Lens C HAL LG;V3212P;3212;70;1;14400;5
10063-18527;V3213L;3213;27,5;1;14400;5
10163-18527;V3213P;3213;27,5;1;14400;5
Inner lens B LED YAA;V3214L;3214;76;1;14400;5
Inner lens B LED  YAA;V3214P;3214;76;1;14400;5
Inner lens A, 256B, 10151-18915;V3215L;3215;69;1;14400;5
Inner lens A, 256B, 10051-18915;V3215P;3215;69;1;14400;5
Inner lens B,256B, 10161-18915;V3216L;3216;56;1;14400;5
Inner lens B,256B, 10061-18915;V3216P;3216;56;1;14400;5
Inner lens C - 10145-18834;V3217L;3217;173;1;14400;5
Inner lens C - 10045-18834;V3217P;3217;173;1;14400;5
P32S Inner lens A LED;V3218L;3218;254;1;14400;5
P32S Inner lens A LED;V3218P;3218;254;1;14400;5
SFTP FV FL Inner Lens;V3219L;3219;59;1;14400;5
SFTIP FV FL Inner Lens;V3219P;3219;59;1;14400;5
P32S Inner lens A LED  DUPL;V3220L;3220;234;1;14400;5
P32S Inner lens A LED  DUPL;V3220P;3220;234;1;14400;5
10141-8F017;V3221L;3221;53,1;1;14400;5
10141-8F017;V3221P;3221;53,1;1;14400;5
10151-8F017 čočka;V3222L;3222;92;1;14400;5
10051-8F017 čočka;V3222P;3222;92;1;14400;5
10185-8F017 bracket;V3223L;3223;52,2;1;14400;5
10085-8F017 bracket;V3223P;3223;52,2;1;14400;5
P32S Inner lens A LED  DUPL 2.;V3224L;3224;234;1;14400;5
P32S Inner lens A LED  DUPL 2.;V3224P;3224;234;1;14400;5
10140-8A03E;V3225L;3225;58,8;1;14400;5
10040-8A03E;V3225P;3225;58,8;1;14400;5
Inner Lens A BG;V3226L;3226;57,76;1;14400;5
Inner Lens A BG ;V3226P;3226;57,76;1;14400;5
Inner Lens A HG;V3227L;3227;62,7;1;14400;5
Inner Lens A HG;V3227P;3227;62,7;1;14400;5
Inner Lens B LG;V3228L;3228;72,8;1;14400;5
Inner Lens B BG;V3228P;3228;72,8;1;14400;5
Inner Lens B HG;V3229L;3229;71,13;1;14400;5
Inner Lens B HG;V3229P;3229;71,13;1;14400;5
Inner Lens A P33B;V3230L;3230;224,5;1;14400;5
Inner Lens A P33B;V3230P;3230;224,5;1;14400;5
10140-8A0AH;V3231L;3231;49;1;14400;5
10040-8A0AH;V3231P;3231;49;1;14400;5
10150-8A0AH;V3232L;3232;;;14400;5
10050-8A0AH;V3232P;3232;;;14400;5
Inner Lens A P33B před laserem;V3233L;3233;;;14400;5
Inner Lens A P33B před laserem;V3233P;3233;;;14400;5
Inner Lens A P33B před laserem;V3234L;3234;;;14400;5
Inner Lens A P33B před laserem;V3234P;3234;;;14400;5
Inner Lens A P33B před laserem;V3235L;3235;;;14400;5
Inner Lens A P33B před laserem;V3235P;3235;;;14400;5
Inner Lens A P33B před laserem;V3236L;3236;;;14400;5
Inner Lens A P33B před laserem;V3236P;3236;;;14400;5
VO163518030799 Trägertail (TRÄGER);V3402L;3402;49,6;1;14400;5
VO163518060799 Trägertail (TRÄGER);V3402P;3402;49,6;1;14400;5
VO163518020999 Aussenschale (FINLET);V3403L;3403;80;1;14400;5
VO163518050999 Aussenschale (FINLET);V3403P;3403;80;1;14400;5
86861-00000 DEFLECTOR-SIDE SILL MLDG LH;V3405NL;3405;30;1;14400;5
86862-00000 DEFLECTOR-SIDE SILL MLDG RH;V3405NP;3405;30;1;14400;5
Cartridge connector body;V3600N;3600;;;14400;5
Reagent connector body;V3601N;3601;;;14400;5
Fitting UNF 6-40;V3602N;3602;;;14400;5
Flap ;V3603N;3603;;;14400;5
86581-G4DA0;V4400NL;4400;;;14400;5
86584-G4DA0;V4400NP;4400;;;14400;5
86588-G4DA0;V4401N;4401;;;14400;5
86688-G4DA0;V4402N;4402;;;14400;5
86651-G4DA0;V4403NL;4403;;;14400;5
86652-G4DA0;V4403NP;4403;;;14400;5
86675-G4DA0;V4404NL;4404;;;14400;5
86678-G4DA0;V4404NP;4404;;;14400;5
86676-G4DA0;V4405NL;4405;;;14400;5
86677-G4DA0;V4405NP;4405;;;14400;5
Nosič levý;V0943L;943;65,72;1;14400;5
nosič pravý;V0943P;943;65,72;1;14400;5
